doc,query_id,label,predicted_relevance
doc_2052,3,1,3.666122052428008
doc_164,3,1,2.6767648708328275
doc_411,3,1,3.15079415101106
doc_1805,3,1,2.5723664059345572
doc_3442,3,1,2.917240306772623
doc_2657,3,1,3.020475448600234
doc_1534,3,1,2.646579777000977
doc_383,3,1,2.7878371831474014
doc_1618,3,1,2.646579777000977
doc_63,3,1,2.3764502627682402
doc_3803,3,0,0.09880724852939653
doc_1069,3,0,0.0
doc_2852,3,0,0.0
doc_3445,3,0,0.09493435294764653
doc_421,3,0,0.08428389009783407
doc_3478,3,0,0.0
doc_3705,3,0,0.0
doc_3422,3,0,0.11410518607730896
doc_650,3,0,0.11739714732179644
doc_2442,3,0,0.10321266725363713
doc_1452,3,0,0.08302519903376533
doc_2908,3,0,0.0
doc_618,3,0,0.13976311930640264
doc_2677,3,0,0.11410518607730896
doc_489,3,0,0.0
doc_110,3,0,0.08302519903376533
doc_3439,3,0,0.0
doc_3137,3,0,0.0
doc_3913,3,0,0.0
doc_2696,3,0,0.0
doc_2234,3,0,0.0
doc_2656,3,0,0.0
doc_3709,3,0,0.0
doc_592,3,0,0.10824743150991212
doc_3556,3,0,0.08839884165344344
doc_2586,3,0,0.08839884165344344
doc_2701,3,0,0.0
doc_3478,3,0,0.0
doc_2956,3,0,0.10824743150991212
doc_3552,3,0,0.08694650581028719
doc_1452,2,1,9.620215110362683
doc_2908,2,1,10.795811482028604
doc_618,2,1,9.297014249678497
doc_2677,2,1,7.590253753547703
doc_489,2,1,7.809234345504105
doc_110,2,1,5.52281934125342
doc_3439,2,1,6.386203434885749
doc_3137,2,1,6.714331385722087
doc_3913,2,1,7.026700759542251
doc_2696,2,1,5.606547214648515
doc_1933,2,0,0.0
doc_3326,2,0,0.0
doc_1095,2,0,0.0
doc_2164,2,0,0.0
doc_3146,2,0,0.0
doc_3297,2,0,0.0
doc_243,2,0,0.0
doc_477,2,0,0.0
doc_2457,2,0,0.0
doc_3967,2,0,0.0
doc_2052,2,0,0.0
doc_164,2,0,0.0
doc_411,2,0,0.0
doc_1805,2,0,0.0
doc_3442,2,0,0.0
doc_2657,2,0,0.0
doc_1534,2,0,0.0
doc_383,2,0,0.0
doc_1618,2,0,0.0
doc_63,2,0,0.0
doc_2234,2,0,0.0
doc_2656,2,0,0.0
doc_3709,2,0,0.0
doc_592,2,0,0.0
doc_3556,2,0,0.0
doc_2586,2,0,0.0
doc_2701,2,0,0.0
doc_3478,2,0,0.0
doc_2956,2,0,0.0
doc_3552,2,0,0.0
doc_2234,1,1,5.728869698498611
doc_2656,1,1,2.127285668908272
doc_3709,1,1,4.330925868559979
doc_592,1,1,3.2119237950580812
doc_3556,1,1,2.62297533532024
doc_2586,1,1,2.62297533532024
doc_2701,1,1,3.7089388366905034
doc_3478,1,1,2.271042719135432
doc_2956,1,1,1.0367503826675888
doc_3552,1,1,1.6654773589185952
doc_1336,1,0,3.677171511107362
doc_2295,1,0,2.600285568568777
doc_2176,1,0,3.4398091172686858
doc_2488,1,0,0.0
doc_1669,1,0,0.0
doc_1953,1,0,0.0
doc_1641,1,0,0.0
doc_637,1,0,0.0
doc_885,1,0,0.0
doc_174,1,0,0.0
doc_2052,1,0,0.0
doc_164,1,0,0.0
doc_411,1,0,0.0
doc_1805,1,0,0.0
doc_3442,1,0,0.0
doc_2657,1,0,0.0
doc_1534,1,0,0.0
doc_383,1,0,0.0
doc_1618,1,0,0.0
doc_63,1,0,0.0
doc_1452,1,0,0.0
doc_2908,1,0,0.0
doc_618,1,0,0.0
doc_2677,1,0,0.0
doc_489,1,0,0.0
doc_110,1,0,0.0
doc_3439,1,0,0.0
doc_3137,1,0,0.0
doc_3913,1,0,0.0
doc_2696,1,0,0.0
